,Input,Final_Output
426,"Xu, Q.Q.; Lan, X.Y.; Lin, H.M.; Xi, Q.Y.; Wang, M.C.; Quan, X.L.; Yao, G.Y.; Yu, Z.Q.; Wang, Y.X.; Yu, M. Tumor microenvironment regulating nanomedicine design to fight multi-drug resistant tumors. Wiley Interdiscip. Rev. Nanomed. Nanobiotechnol. 2023, 15, e1842.","{""author"": ""Q.Q. Xu; X.Y. Lan; H.M. Lin; Q.Y. Xi; M.C. Wang; X.L. Quan; G.Y. Yao; Z.Q. Yu; Y.X. Wang; M. Yu"", ""journalName"": ""Wiley Interdiscip. Rev. Nanomed. Nanobiotechnol."", ""year"": 2023}"
427,"Bejarano, L.; Jordao, M.J.C.; Joyce, J.A. Therapeutic Targeting of the Tumor Microenvironment. Cancer Discov. 2021, 11, 933–959","{""author"": ""L. Bejarano; M.J.C. Jordao; J.A. Joyce"", ""journalName"": ""Cancer Discov."", ""year"": 2021}"
428,"Peng, S.J.; Xiao, F.F.; Chen, M.W.; Gao, H.L. Tumor-Microenvironment-Responsive Nanomedicine for Enhanced Cancer Im munotherapy. Adv. Sci. 2022, 9, e2103836.","{""author"": ""S.J. Peng; F.F. Xiao; M.W. Chen; H.L. Gao"", ""journalName"": ""Adv. Sci."", ""year"": 2022}"
429,"Carmeliet, P. VEGF as a key mediator of angiogenesis in cancer. Oncology 2005, 69, 4–10.","{""author"": ""P. Carmeliet"", ""journalName"": ""Oncology"", ""year"": 2005}"
430,"Ribatti, D.; Annese, T.; Ruggieri, S.; Tamma, R.; Crivellato, E. Limitations of Anti-Angiogenic Treatment of Tumors. Transl. Oncol. 2019, 12, 981–986.","{""author"": ""D. Ribatti; T. Annese; S. Ruggieri; R. Tamma; E. Crivellato"", ""journalName"": ""Transl. Oncol."", ""year"": 2019}"
431,"Liang, Y.J.; Zheng, T.S.; Song, R.P.; Wang, J.B.; Yin, D.L.; Wang, L.L.; Liu, H.T.; Tian, L.T.; Fang, X.; Meng, X.Z.; et al. Hypoxia Mediated Sorafenib Resistance Can Be Overcome by EF24 Through Von Hippel-Lindau Tumor Suppressor-Dependent HIF-1 alpha Inhibition in Hepatocellular Carcinoma. Hepatology 2013, 57, 1847–1857.","{""author"": ""Y.J. Liang; T.S. Zheng; R.P. Song; J.B. Wang; D.L. Yin; L.L. Wang; H.T. Liu; L.T. Tian; X. Fang; X.Z. Meng; et al."", ""journalName"": ""Hepatology"", ""year"": 2013}"
432,"Mendez-Blanco, C.; Fondevila, F.; Garcia-Palomo, A.; Gonzalez-Gallego, J.; Mauriz, J.L. Sorafenib resistance in hepatocarcinoma: Role of hypoxia-inducible factors. Exp. Mol. Med. 2018, 50, 134.","{""author"": ""C. Mendez-Blanco; F. Fondevila; A. Garcia-Palomo; J. Gonzalez-Gallego; J.L. Mauriz"", ""journalName"": ""Exp. Mol. Med."", ""year"": 2018}"
433,"Lee, P.; Chandel, N.S.; Simon, M.C. Cellular adaptation to hypoxia through hypoxia inducible factors and beyond. Nat. Rev. Mol. Cell Bio. 2020, 21, 268–283","{""author"": ""P. Lee; N.S. Chandel; M.C. Simon"", ""journalName"": ""Nat. Rev. Mol. Cell Bio."", ""year"": 2020}"
434,"Feng, W.; Xue, T.; Huang, S.; Shi, Q.; Tang, C.; Cui, G.; Yang, G.; Gong, H.; Guo, H. HIF-1alpha promotes the migration and invasion of hepatocellular carcinoma cells via the IL-8-NF-kappaB axis. Cell. Mol. Biol. Lett. 2018, 23, 26.","{""author"": ""W. Feng; T. Xue; S. Huang; Q. Shi; C. Tang; G. Cui; G. Yang; H. Gong; H. Guo"", ""journalName"": ""Cell. Mol. Biol. Lett."", ""year"": 2018}"
435,"Malekan, M.; Ebrahimzadeh, M.A.; Sheida, F. The role of Hypoxia-Inducible Factor-1alpha and its signaling in melanoma. Biomed. Pharmacother. 2021, 141, 111873.","{""author"": ""M. Malekan; M.A. Ebrahimzadeh; F. Sheida"", ""journalName"": ""Biomed. Pharmacother."", ""year"": 2021}"
436,"Mahdi, A.; Darvishi, B.; Majidzadeh-A, K.; Salehi, M.; Farahmand, L. Challenges facing antiangiogenesis therapy: The significant role of hypoxia-inducible factor and MET in development of resistance to anti-vascular endothelial growth factor-targeted therapies. J. Cell Physiol. 2019, 234, 5655–5663.","{""author"": ""A. Mahdi; B. Darvishi; K. Majidzadeh-A; M. Salehi; L. Farahmand"", ""journalName"": ""J. Cell Physiol."", ""year"": 2019}"
437,"Chen, X.; Jin, R.; Jiang, Q.; Bi, Q.; He, T.; Song, X.; Barz, M.; Ai, H.; Shuai, X.; Nie, Y. Delivery of siHIF-1alpha to Reconstruct Tumor Normoxic Microenvironment for Effective Chemotherapeutic and Photodynamic Anticancer Treatments. Small 2021, 17, e2100609.","{""author"": ""X. Chen; R. Jin; Q. Jiang; Q. Bi; T. He; X. Song; M. Barz; H. Ai; X. Shuai; Y. Nie"", ""journalName"": ""Small"", ""year"": 2021}"
438,"Kang,Z.; Meng, Q.; Liu, K. Peptide-based gene delivery vectors. J. Mater. Chem. B 2019, 7, 1824–1841.","{""author"": ""Z. Kang; Q. Meng; K. Liu"", ""journalName"": ""J. Mater. Chem. B"", ""year"": 2019}"
439,"Wan,Y.; Dai, W.; Nevagi, R.J.; Toth, I.; Moyle, P.M. Multifunctional peptide-lipid nanocomplexes for efficient targeted delivery of DNAandsiRNAintobreast cancer cells. Acta Biomater. 2017, 59, 257–268.","{""author"": ""Y. Wan; W. Dai; R.J. Nevagi; I. Toth; P.M. Moyle"", ""journalName"": ""Acta Biomater."", ""year"": 2017}"
440,"Cai, X.J.; Jin, R.R.; Wang, J.L.; Yue, D.; Jiang, Q.; Wu, Y.; Gu, Z.W. Bioreducible fluorinated peptide dendrimers capable of circumventing various physiological barriers for highly efficient and safe gene delivery. ACS Appl. Mater. Interfaces 2016, 8, 5821–5832.","{""author"": ""X.J. Cai; R.R. Jin; J.L. Wang; D. Yue; Q. Jiang; Y. Wu; Z.W. Gu"", ""journalName"": ""ACS Appl. Mater. Interfaces"", ""year"": 2016}"
441,"Hadianamrei, R.; Zhao, X.B. Current state of the art in peptide-based gene delivery. J. Control. Release 2022, 343, 600–619.","{""author"": ""R. Hadianamrei; X.B. Zhao"", ""journalName"": ""J. Control. Release"", ""year"": 2022}"
442,"Zhou, L.; Emenuga, M.; Kumar, S.; Lamantia, Z.; Figueiredo, M.; Emrick, T. Designing Synthetic Polymers for Nucleic Acid Complexation and Delivery: From Polyplexes to Micelleplexes to Triggered Degradation. Biomacromolecules 2022, 23, 4029–4040.","{""author"": ""L. Zhou; M. Emenuga; S. Kumar; Z. Lamantia; M. Figueiredo; T. Emrick"", ""journalName"": ""Biomacromolecules"", ""year"": 2022}"
443,"Gorzkiewicz, M.; Konopka, M.; Janaszewska, A.; Tarasenko, I.I.; Sheveleva, N.N.; Gajek, A.; Neelov, I.M.; Klajnert-Maculewicz, B. Application of new lysine-based peptide dendrimers D3K2 and D3G2 for gene delivery: Specific cytotoxicity to cancer cells and transfection in vitro. Bioorg. Chem. 2020, 95, 103504.","{""author"": ""M. Gorzkiewicz; M. Konopka; A. Janaszewska; I.I. Tarasenko; N.N. Sheveleva; A. Gajek; I.M. Neelov; B. Klajnert-Maculewicz"", ""journalName"": ""Bioorg. Chem."", ""year"": 2020}"
444,"Han,H.; Xing, J.; Chen, W.; Jia, J.; Li, Q. Fluorinated polyamidoamine dendrimer-mediated miR-23b delivery for the treatment of experimental rheumatoid arthritis in rats. Nat. Commun. 2023, 14, 944.","{""author"": ""H. Han; J. Xing; W. Chen; J. Jia; Q. Li"", ""journalName"": ""Nat. Commun."", ""year"": 2023}"
445,"Shi, Z.; Yang, Y.; Guo, Z.; Feng, S.; Wan, Y. A cathepsin B/GSH dual-responsive fluorinated peptide for effective siRNA delivery to cancer cells. Bioorg. Chem. 2023, 135, 106485.","{""author"": ""Z. Shi; Y. Yang; Z. Guo; S. Feng; Y. Wan"", ""journalName"": ""Bioorg. Chem."", ""year"": 2023}"
446,"Wan,Y.; Yang, Y.; Wu, M.; Feng, S. Fluorinated vectors for gene delivery. Expert Opin. Drug Deliv. 2022, 19, 1435–1448.","{""author"": ""Y. Wan; Y. Yang; M. Wu; S. Feng"", ""journalName"": ""Expert Opin. Drug Deliv."", ""year"": 2022}"
447,"Wu,P.K.; Luo, X.P.; Wu, H.; Zhang, Q.Y.; Dai, Y.X.; Sun, M.J. Efficient and targeted chemo-gene delivery with self-assembled f luoro-nanoparticles for liver fibrosis therapy and recurrence. Biomaterials 2020, 261, 120311","{""author"": ""P.K. Wu; X.P. Luo; H. Wu; Q.Y. Zhang; Y.X. Dai; M.J. Sun"", ""journalName"": ""Biomaterials"", ""year"": 2020}"
448,"Zhang, T.B.; Zhang, Q.; Tian, J.H.; Xing, J.F.; Guo, W.S.; Liang, X.J. Perfluorocarbon-based nanomedicine: Emerging strategy for diagnosis and treatment of diseases. Mrs Commun. 2018, 8, 303–313","{""author"": ""T.B. Zhang; Q. Zhang; J.H. Tian; J.F. Xing; W.S. Guo; X.J. Liang"", ""journalName"": ""Mrs Commun."", ""year"": 2018}"
449,"Gao, M.; Liang, C.; Song, X.J.; Chen, Q.; Jin, Q.T.; Wang, C.; Liu, Z. Erythrocyte-Membrane-Enveloped Perfluorocarbon as Nanoscale Artificial Red Blood Cells to Relieve Tumor Hypoxia and Enhance Cancer Radiotherapy. Adv. Mater. 2017, 29, 1701429","{""author"": ""M. Gao; C. Liang; X.J. Song; Q.T. Jin; C. Wang; Z. Liu"", ""journalName"": ""Adv. Mater."", ""year"": 2017}"
450,"Xiong, S.D.; Li, L.; Jiang, J.; Tong, L.P.; Wu, S.L.; Xu, Z.S.; Chu, P.K. Cationic fluorine-containing amphiphilic graft copolymers as DNAcarriers. Biomaterials 2010, 31, 2673–2685.","{""author"": ""S.D. Xiong; L. Li; J. Jiang; L.P. Tong; S.L. Wu; Z.S. Xu; P.K. Chu"", ""journalName"": ""Biomaterials"", ""year"": 2010}"
451,"Kulakova, E.; Nieuwland, M.S. Understanding counterfactuality: A review of experimental evidence for the dual meaning of counterfactuals. Lang. Linguist. Compass 2016, 10, 49–65.","{""author"": ""E. Kulakova; M.S. Nieuwland"", ""journalName"": ""Lang. Linguist. Compass"", ""year"": 2016}"
452,"Byrne, R.M.J. Mental models and counterfactual thoughts about what might have been. TiCS 2002, 6, 426–431.","{""author"": ""R.M.J. Byrne"", ""journalName"": ""TiCS"", ""year"": 2002}"
453,"Kulakova, E.; Aichhorn, M.; Schurz, M.; Kronbichler, M.; Perner, J. Processing counterfactual and hypothetical conditionals: An fMRI investigation. Neuroimage 2013, 72, 265–271","{""author"": ""E. Kulakova; M. Aichhorn; M. Schurz; M. Kronbichler; J. Perner"", ""journalName"": ""Neuroimage"", ""year"": 2013}"
454,"Yong, Q. A corpus-based study of counterfactuals in Mandarin. Lang. Linguist. 2016, 17, 891–915.","{""author"": ""Q. Yong"", ""journalName"": ""Lang. Linguist."", ""year"": 2016}"
455,"Jiang, Y. Ways of expressing counterfactual conditionals in Mandarin Chinese. Linguist. Vanguard 2019, 5, 1–9.","{""author"": ""Y. Jiang"", ""journalName"": ""Linguist. Vanguard"", ""year"": 2019}"
456,"Liao, Q.; Kong, L.; Jiang, X. The influence of temporal information on online processing of counterfactual conditional sentences: Evidence from ERPs on temporal indicators. J. Neurolinguistics 2023, 68, 101143.","{""author"": ""Q. Liao; L. Kong; X. Jiang"", ""journalName"": ""J. Neurolinguistics"", ""year"": 2023}"
457,"Ditman, T.; Holcomb, P.J.; Kuperberg, G.R. Time travel through language: Temporal shifts rapidly decrease information accessibility during reading. Psychon. Bull. Rev. 2008, 15, 750–756.","{""author"": ""T. Ditman; P.J. Holcomb; G.R. Kuperberg"", ""journalName"": ""Psychon. Bull. Rev."", ""year"": 2008}"
458,"Zwaan,R.A. Processing narrative time shifts. J. Exp. Psychol. Learn. Mem. Cogn. 1996, 22, 1196–1207.","{""author"": ""R.A. Zwaan"", ""journalName"": ""J. Exp. Psychol. Learn. Mem. Cogn."", ""year"": 1996}"
459,"Speer, N.K.; Zacks, J.M. Temporal changes as event boundaries: Processing and memory consequences of narrative time shifts. J. Mem. Lang. 2005, 53, 125–140.","{""author"": ""N.K. Speer; J.M. Zacks"", ""journalName"": ""J. Mem. Lang."", ""year"": 2005}"
460,"Bubic, A.; Susac, A.; Palmovic, M. Exploring the influence of temporal discontinuities in narrative text using eye tracking. Lang. Sci. 2015, 48, 16–21.","{""author"": ""A. Bubic; A. Susac; M. Palmovic"", ""journalName"": ""Lang. Sci."", ""year"": 2015}"
461,"Nieuwland, M.S. “If a lion could speak...”: Online sensitivity to propositional truth-value of unrealistic counterfactual sentences. J. Mem. Lang. 2013, 68, 54–67.","{""author"": ""M.S. Nieuwland"", ""journalName"": ""J. Mem. Lang."", ""year"": 2013}"
462,"Nieuwland,M.S.; Martin, A.E. If the real world were irrelevant, so to speak: The role of propositional truth-value in counterfactual sentence comprehension. Cognition 2012, 122, 102–109.","{""author"": ""M.S. Nieuwland; A.E. Martin"", ""journalName"": ""Cognition"", ""year"": 2012}"
463,"Evans, J.S.B.; Over, D.E.; Handley, S.J. Suppositions, extensionality, and conditionals: A critique of the mental model theory of Johnson-Laird and Byrne (2002). Psychol. Rev. 2005, 112, 1040–1052.","{""author"": ""J.S.B. Evans; D.E. Over; S.J. Handley"", ""journalName"": ""Psychol. Rev."", ""year"": 2005}"
464,"Ferguson, H.J. Eye movements reveal rapid concurrent access to factual and counterfactual interpretations of the world. Q. J. Exp. Psychol. 2012, 65, 939–961.","{""author"": ""H.J. Ferguson"", ""journalName"": ""Q. J. Exp. Psychol."", ""year"": 2012}"
465,"Ferguson, H.J.; Sanford, A.J. Anomalies in real and counterfactual worlds: An eye-movement investigation. J. Mem. Lang. 2008, 58, 609–626.","{""author"": ""H.J. Ferguson; A.J. Sanford"", ""journalName"": ""J. Mem. Lang."", ""year"": 2008}"
466,"Dai, H.; Kaan, E.; Xu, X. Understanding counterfactuals in transparent and nontransparent context: An event-related potential investigation. J. Exp. Psychol. Learn. Mem. Cogn. 2021, 47, 1299.","{""author"": ""H. Dai; E. Kaan; X. Xu"", ""journalName"": ""J. Exp. Psychol. Learn. Mem. Cogn."", ""year"": 2021}"
467,"Haigh, M.; Stewart, A.J. The influence of clause order, congruency, and probability on the processing of conditionals. Think. Reason. 2011, 17, 402–423.","{""author"": ""M. Haigh; A.J. Stewart"", ""journalName"": ""Think. Reason."", ""year"": 2011}"
468,"Stewart, A.J.; Haigh, M.; Kidd, E. An investigation into the online processing of counterfactual and indicative conditionals. Q. J. Exp. Psychol. 2009, 62, 2113–2125","{""author"": ""A.J. Stewart; M. Haigh; E. Kidd"", ""journalName"": ""Q. J. Exp. Psychol."", ""year"": 2009}"
469,"Ferguson, H.J.; Jayes, L.T. Plausibility and perspective influence the processing of counterfactual narratives. Discourse Process. 2018, 55, 166–186.","{""author"": ""H.J. Ferguson; L.T. Jayes"", ""journalName"": ""Discourse Process."", ""year"": 2018}"
470,"Xu,X.;Chen,Q.; Panther, K.-U.; Wu, Y. Influence of concessive and causal conjunctions on pragmatic processing: Online measures from eye movements and self-paced reading. Discourse Process. 2018, 55, 387–409.","{""author"": ""X. Xu; Q. Chen; K.-U. Panther; Y. Wu"", ""journalName"": ""Discourse Process."", ""year"": 2018}"
471,"Xu,X.; Yu, H.; Gao, X.; Shen, B.; Feng, W.; Zhou, X. Understanding an implicated causality: The brain network for processing concessive relations. Brain Lang. 2022, 234, 105177.","{""author"": ""X. Xu; H. Yu; X. Gao; B. Shen; W. Feng; X. Zhou"", ""journalName"": ""Brain Lang."", ""year"": 2022}"
472,"Ye, Z.; Kutas, M.; George, M.S.; Sereno, M.I.; Ling, F.; Münte, T.F. Rearranging the world: Neural network supporting the processing of temporal connectives. Neuroimage 2012, 59, 3662–3667.","{""author"": ""Z. Ye; M. Kutas; M.S. George; M.I. Sereno; F. Ling; T.F. M\u00fcnte"", ""journalName"": ""Neuroimage"", ""year"": 2012}"
473,"Nieuwland, M.S.; Kuperberg, G.R. When the truth is not too hard to handle: An event-related potential study on the pragmatics of negation. Psychol. Sci. 2008, 19, 1213–1218.","{""author"": ""M.S. Nieuwland; G.R. Kuperberg"", ""journalName"": ""Psychol. Sci."", ""year"": 2008}"
474,"Santamaría, C.; Espino, O.; Byrne, R.M. Counterfactual and semifactual conditionals prime alternative possibilities. J. Exp. Psychol. Learn. Mem. Cogn. 2005, 31, 1149.","{""author"": ""C. Santamar\u00eda; O. Espino; R.M. Byrne"", ""journalName"": ""J. Exp. Psychol. Learn. Mem. Cogn."", ""year"": 2005}"
475,"Gómez-Veiga, I.; García-Madruga, J.-A.; Moreno-Ríos, S. The interpretation of indicative and subjunctive concessives. Acta Psychol. 2010, 134, 245–252","{""author"": ""I. G\u00f3mez-Veiga; J.-A. Garc\u00eda-Madruga; S. Moreno-R\u00edos"", ""journalName"": ""Acta Psychol."", ""year"": 2010}"
476,"Radvansky, G.A.; Copeland, D.E. Reading times and the detection of event shift processing. J. Exp. Psychol. Learn. Mem. Cogn. 2010, 36, 210–216.","{""author"": ""G.A. Radvansky; D.E. Copeland"", ""journalName"": ""J. Exp. Psychol. Learn. Mem. Cogn."", ""year"": 2010}"
477,"Brouwer, H.; Crocker, M.W.; Venhuizen, N.J.; Hoeks, J. A Neurocomputational Model of the N400 and the P600 in Language Processing. Cogn. Sci. 2017, 41, 1318–1352.","{""author"": ""H. Brouwer; M.W. Crocker; N.J. Venhuizen; J. Hoeks"", ""journalName"": ""Cogn. Sci."", ""year"": 2017}"
478,"Faul, F.; Erdfelder, E.; Lang, A.-G.; Buchner, A. G* Power 3: A flexible statistical power analysis program for the social, behavioral, and biomedical sciences. Behav. Res. Methods 2007, 39, 175–191","{""author"": ""F. Faul; E. Erdfelder; A.-G. Lang; A. Buchner"", ""journalName"": ""Behav. Res. Methods"", ""year"": 2007}"
479,"Dai, H.; Chen, L.; Ni, C.; Xu, X. Literature reading modulates pronoun resolution in counterfactual world: Evidence from event-related potentials. J. Exp. Psychol. Learn. Mem. Cogn. 2019, 45, 904–919.","{""author"": ""H. Dai; L. Chen; C. Ni; X. Xu"", ""journalName"": ""J. Exp. Psychol. Learn. Mem. Cogn."", ""year"": 2019}"
480,"Kanske, P.; Kotz, S.A. Concreteness in emotional words: ERP evidence from a hemifield study. Brain Res. 2007, 1148, 138–148.","{""author"": ""P. Kanske; S.A. Kotz"", ""journalName"": ""Brain Res."", ""year"": 2007}"
481,"Ferree, T.C.; Luu, P.; Russell, G.S.; Tucker, D.M. Scalp electrode impedance, infection risk, and EEG data quality. Clin. Neurophysiol. 2001, 112, 536–544.","{""author"": ""T.C. Ferree; P. Luu; G.S. Russell; D.M. Tucker"", ""journalName"": ""Clin. Neurophysiol."", ""year"": 2001}"
482,"Kappenman, E.S.; Luck, S.J. The effects of electrode impedance on data quality and statistical significance in ERP recordings. Psychophysiology 2010, 47, 888–904.","{""author"": ""E.S. Kappenman; S.J. Luck"", ""journalName"": ""Psychophysiology"", ""year"": 2010}"
483,"Ferguson, H.J.; Cane, J.E. Examining the cognitive costs of counterfactual language comprehension: Evidence from ERPs. Brain Res. 2015, 1622, 252–269.","{""author"": ""H.J. Ferguson; J.E. Cane"", ""journalName"": ""Brain Res."", ""year"": 2015}"
484,"Jung, T.-P.; Makeig, S.; Humphries, C.; Lee, T.-W.; Mckeown, M.J.; Iragui, V.; Sejnowski, T.J. Removing electroencephalographic artifacts by blind source separation. Psychophysiology 2000, 37, 163–178.","{""author"": ""T.-P. Jung; S. Makeig; C. Humphries; T.-W. Lee; M.J. Mckeown; V. Iragui; T.J. Sejnowski"", ""journalName"": ""Psychophysiology"", ""year"": 2000}"
485,"Fields, E.C.; Kuperberg, G.R. Loving yourself more than your neighbor: ERPs reveal online effects of a self-positivity bias. Soc. Cogn. Affect. Neurosci. 2015, 10, 1202–1209.","{""author"": ""E.C. Fields; G.R. Kuperberg"", ""journalName"": ""Soc. Cogn. Affect. Neurosci."", ""year"": 2015}"
486,"Nieuwland, M.S. “Who’s he?” Event-related brain potentials and unbound pronouns. J. Mem. Lang. 2014, 76, 1–28.","{""author"": ""M.S. Nieuwland"", ""journalName"": ""J. Mem. Lang."", ""year"": 2014}"
487,"Newman,A.J.; Tremblay, A.; Nichols, E.S.; Neville, H.J.; Ullman, M.T. The influence of language proficiency on lexical semantic processing in native and late learners of English. J. Cogn. Neurosci. 2012, 24, 1205–1223.","{""author"": ""A.J. Newman; A. Tremblay; E.S. Nichols; H.J. Neville; M.T. Ullman"", ""journalName"": ""J. Cogn. Neurosci."", ""year"": 2012}"
488,"Jiang, X.; Pell, M.D. Neural responses towards a speaker’s feeling of (un) knowing. Neuropsychologia 2016, 81, 79–93.","{""author"": ""X. Jiang; M.D. Pell"", ""journalName"": ""Neuropsychologia"", ""year"": 2016}"
489,"Bates, D.; Mächler, M.; Bolker, B.; Walker, S. Fitting linear mixed-effects models using lme4. J. Stat. Softw. 2014, 67, 1–48.","{""author"": ""D. Bates; M. M\u00e4chler; B. Bolker; S. Walker"", ""journalName"": ""J. Stat. Softw."", ""year"": 2014}"
490,"Kuznetsova, A.; Brockhoff, P.B.; Christensen, R.H. lmerTest package: Tests in linear mixed effects models. J. Stat. Softw. 2017, 82, 1–26.","{""author"": ""A. Kuznetsova; P.B. Brockhoff; R.H. Christensen"", ""journalName"": ""J. Stat. Softw."", ""year"": 2017}"
491,"Jaeger, T.F. Categorical data analysis: Away from ANOVAs (transformation or not) and towards logit mixed models. J. Mem. Lang. 2008, 59, 434–446.","{""author"": ""T.F. Jaeger"", ""journalName"": ""J. Mem. Lang."", ""year"": 2008}"
492,"Dancygier, B. Interpreting conditionals: Time, knowledge, and causation. J. Pragmat. 1993, 19, 403–434.","{""author"": ""B. Dancygier"", ""journalName"": ""J. Pragmat."", ""year"": 1993}"
493,"Zwaan,R.A. Situation Models: The mental leap into imagined worlds. Curr. Dir. Psychol. Sci. 1999, 8, 15–18.","{""author"": ""R.A. Zwaan"", ""journalName"": ""Curr. Dir. Psychol. Sci."", ""year"": 1999}"
494,"Eddine, S.N.; Brothers, T.; Kuperberg, G.R. The N400 in silico: A review of computational models. Psychol. Learn. Motiv. 2022, 76, 123–206.","{""author"": ""S.N. Eddine; T. Brothers; G.R. Kuperberg"", ""journalName"": ""Psychol. Learn. Motiv."", ""year"": 2022}"
495,"Federmeier, K.D. Thinking ahead: The role and roots of prediction in language comprehension. Psychophysiology 2007, 44, 491–505.","{""author"": ""K.D. Federmeier"", ""journalName"": ""Psychophysiology"", ""year"": 2007}"
496,"Hoeks, J.C.; Stowe, L.A.; Doedens, G. Seeing words in context: The interaction of lexical and sentence level information during reading. Cogn. Brain Res. 2004, 19, 59–73.","{""author"": ""J.C. Hoeks; L.A. Stowe; G. Doedens"", ""journalName"": ""Cogn. Brain Res."", ""year"": 2004}"
497,"deVega, M.; Urrutia, M. Discourse updating after reading a counterfactual event. Psicol. Int. J. Methodol. Exp. Psychol. 2012, 33, 157–173.","{""author"": ""M. deVega; M. Urrutia"", ""journalName"": ""Psicol. Int. J. Methodol. Exp. Psychol."", ""year"": 2012}"
498,"Jiang, X.; Li, Y.; Zhou, X. Even a rich man can afford that expensive house: ERP responses to construction-based pragmatic constraints during sentence comprehension. Neuropsychologia 2013, 51, 1857–1866","{""author"": ""X. Jiang; Y. Li; X. Zhou"", ""journalName"": ""Neuropsychologia"", ""year"": 2013}"
499,"Li, S.; Jiang, X.; Yu, H.; Zhou, X. Cognitive empathy modulates the processing of pragmatic constraints during sentence comprehension. Soc. Cogn. Affect. Neurosci. 2014, 9, 1166–1174","{""author"": ""S. Li; X. Jiang; H. Yu; X. Zhou"", ""journalName"": ""Soc. Cogn. Affect. Neurosci."", ""year"": 2014}"
500,"Xu,X.; Jiang, X.; Zhou, X. When a causal assumption is not satisfied by reality: Differential brain responses to concessive and causal relations during sentence comprehension. Lang. Cogn. Neurosci. 2015, 30, 704–715.","{""author"": ""X. Xu; X. Jiang; X. Zhou"", ""journalName"": ""Lang. Cogn. Neurosci."", ""year"": 2015}"
501,"Lüdke, J.; Friedrich, C.; De Filippis, M.; Kaup, B. Event-related Potential Correlates of Negation in a Sentence–Picture Verification Paradigm. J. Cogn. Neurosci. 2008, 20, 1355–1370.","{""author"": ""J. L\u00fcdke; C. Friedrich; M. De Filippis; B. Kaup"", ""journalName"": ""J. Cogn. Neurosci."", ""year"": 2008}"
502,"Hsu,C.-F. Linking counterfactuality with theory of mind: Evidence from developmental studies with Yàobúshì in Chinese. Ling. Sin. 2017, 3, 14","{""author"": ""C.-F. Hsu"", ""journalName"": ""Ling. Sin."", ""year"": 2017}"
503,"Yanaka, H.; Mineshima, K.; Bekki, D.; Inui, K.; Sekine, S.; Abzianidze, L.; Bos, J. Can neural networks understand monotonicity reasoning? arXiv 2019, arXiv:1906.06448.","{""author"": ""H. Yanaka; K. Mineshima; D. Bekki; K. Inui; S. Sekine; L. Abzianidze; J. Bos"", ""journalName"": ""arXiv"", ""year"": 2019}"
504,"Lewis, M.; Steedman, M. Combined distributional and logical semantics. Trans. Assoc. Comput. Linguist. 2013, 1, 179–192.","{""author"": ""M. Lewis; M. Steedman"", ""journalName"": ""Trans. Assoc. Comput. Linguist."", ""year"": 2013}"
505,"Abokyi, S.; To, C.-H.; Lam, T.T.; Tse, D.Y. Central Role of Oxidative Stress in Age-Related Macular Degeneration: Evidence from a Review of the Molecular Mechanisms and Animal Models. Oxidative Med. Cell. Longev. 2020, 2020, e7901270.","{""author"": ""S. Abokyi; C.-H. To; T.T. Lam; D.Y. Tse"", ""journalName"": ""Oxidative Med. Cell. Longev."", ""year"": 2020}"
506,"Piippo, N.; Korhonen, E.; Hytti, M.; Kinnunen, K.; Kaarniranta, K.; Kauppinen, A. Oxidative Stress Is the Principal Contributor to Inflammasome Activation in Retinal Pigment Epithelium Cells with Defunct Proteasomes and Autophagy. CPB 2018, 49, 359–367","{""author"": ""N. Piippo; E. Korhonen; M. Hytti; K. Kinnunen; K. Kaarniranta; A. Kauppinen"", ""journalName"": ""CPB"", ""year"": 2018}"
507,"Jann, M.W. Buspirone: An Update on a Unique Anxiolytic Agent. Pharmacotherapy 1988, 8, 100–116.","{""author"": ""M.W. Jann"", ""journalName"": ""Pharmacotherapy"", ""year"": 1988}"
508,"Gupta, N.; Gupta, M.; Gandhi, R. Buspirone in Autism Spectrum Disorder: A Systematic Review. Cureus 2023, 15, e39304.","{""author"": ""N. Gupta; M. Gupta; R. Gandhi"", ""journalName"": ""Cureus"", ""year"": 2023}"
509,"Fernández-Robredo, P.; Sancho, A.; Johnen, S.; Recalde, S.; Gama, N.; Thumann, G.; Groll, J.; García-Layana, A. Current Treatment Limitations in Age-Related Macular Degeneration and Future Approaches Based on Cell Therapy and Tissue Engineering. J. Ophthalmol. 2014, 2014, 510285","{""author"": ""P. Fern\u00e1ndez-Robredo; A. Sancho; S. Johnen; S. Recalde; N. Gama; G. Thumann; J. Groll; A. Garc\u00eda-Layana"", ""journalName"": ""J. Ophthalmol."", ""year"": 2014}"
510,"Gibbs, W.S.; Collier, J.B.; Morris, M.; Beeson, C.C.; Megyesi, J.; Schnellmann, R.G. 5-HT1F Receptor Regulates Mitochondrial Homeostasis and Its Loss Potentiates Acute Kidney Injury and Impairs Renal Recovery. Am. J. Physiol.-Ren. Physiol. 2018, 315, F1119–F1128","{""author"": ""W.S. Gibbs; J.B. Collier; M. Morris; C.C. Beeson; J. Megyesi; R.G. Schnellmann"", ""journalName"": ""Am. J. Physiol.-Ren. Physiol."", ""year"": 2018}"
